"job_id","job_title","job_location","job_schedule_type","company_name","salary_year_avg","job_posted_date"
226942,"Data Analyst","Anywhere","Full-time","Mantys","650000.0","2023-02-20 15:13:33"
547382,"Director of Analytics","Anywhere","Full-time","Meta","336500.0","2023-08-23 12:04:42"
552322,"Associate Director- Data Insights","Anywhere","Full-time","AT&T","255829.5","2023-06-18 16:03:12"
99305,"Data Analyst, Marketing","Anywhere","Full-time","Pinterest Job Advertisements","232423.0","2023-12-05 20:00:40"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","Uclahealthcareers","217000.0","2023-01-17 00:17:23"
168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","SmartAsset","205000.0","2023-08-09 11:00:01"
731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","Inclusively","189309.0","2023-12-07 15:00:13"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","Motional","189000.0","2023-01-05 00:00:25"
1749593,"Principal Data Analyst","Anywhere","Full-time","SmartAsset","186000.0","2023-07-11 16:00:05"
387860,"ERM Data Analyst","Anywhere","Full-time","Get It Recruit - Information Technology","184000.0","2023-06-09 08:01:04"
544491,"Data Analyst Manager, TikTok-US-Data Security","Los Angeles, CA","Full-time","TikTok","222500.0","2023-01-11 06:02:38"
314402,"Lead Data Analyst LIVE - USDS","Los Angeles, CA","Full-time","TikTok","217550.0","2023-12-29 15:00:31"
36333,"Data Analytics- USDS","Los Angeles, CA","Full-time","TikTok","204584.5","2023-06-17 14:00:38"
115536,"Lead Data Analyst, Influence Operations - USDS","Los Angeles, CA","Full-time","TikTok","172118.5","2023-11-06 12:00:40"
1352755,"Lead Data Analyst","Los Angeles, CA","Full-time","MediaAlpha","160000.0","2023-02-17 10:01:37"
1342278,"Data System Analyst","Los Angeles, CA","Full-time","UCLA Health","158950.0","2023-10-17 06:00:48"
1215520,"Live Subscription, Data Analyst- USDS","Los Angeles, CA","Full-time","TikTok","158175.0","2023-06-17 15:00:31"
594288,"Data Analyst","Los Angeles, CA","Full-time","AMIRI","150000.0","2023-12-14 12:00:54"
77102,"Data Analyst / Sr Data Analyst, LIVE - USDS","Los Angeles, CA","Full-time","TikTok","149508.5","2023-05-05 18:17:29"
52466,"Data Analyst / Sr Data Analyst, LIVE - USDS","Los Angeles, CA","Full-time","TikTok","149508.5","2023-07-09 14:00:28"
